entrada,salida,metodo,tiempo
instancias/instancia_intercalada/20X32.in,resultados/instancia_intercalada/20X32_LU.out,1,1439.19
instancias/instancia_intercalada/30X16.in,resultados/instancia_intercalada/30X16_LU.out,1,590.669
instancias/instancia_intercalada/30X24.in,resultados/instancia_intercalada/30X24_LU.out,1,1988.15
instancias/instancia_intercalada/40X24.in,resultados/instancia_intercalada/40X24_LU.out,1,4690.77
instancias/instancia_intercalada/10X32.in,resultados/instancia_intercalada/10X32_LU.out,1,172.912
instancias/instancia_intercalada/50X32.in,resultados/instancia_intercalada/50X32_LU.out,1,21433.3
instancias/instancia_intercalada/50X40.in,resultados/instancia_intercalada/50X40_LU.out,1,44804.6
instancias/instancia_intercalada/30X20.in,resultados/instancia_intercalada/30X20_LU.out,1,1223.15
instancias/instancia_intercalada/40X20.in,resultados/instancia_intercalada/40X20_LU.out,1,2879.14
instancias/instancia_intercalada/25X8.in,resultados/instancia_intercalada/25X8_LU.out,1,48.5392
instancias/instancia_intercalada/45X40.in,resultados/instancia_intercalada/45X40_LU.out,1,32589.9
instancias/instancia_intercalada/50X28.in,resultados/instancia_intercalada/50X28_LU.out,1,15671.4
instancias/instancia_intercalada/5X40.in,resultados/instancia_intercalada/5X40_LU.out,1,46.2805
instancias/instancia_intercalada/45X28.in,resultados/instancia_intercalada/45X28_LU.out,1,11415.0
instancias/instancia_intercalada/35X28.in,resultados/instancia_intercalada/35X28_LU.out,1,5412.01
instancias/instancia_intercalada/30X32.in,resultados/instancia_intercalada/30X32_LU.out,1,5090.13
instancias/instancia_intercalada/35X4.in,resultados/instancia_intercalada/35X4_LU.out,1,17.2246
instancias/instancia_intercalada/5X32.in,resultados/instancia_intercalada/5X32_LU.out,1,25.9359
instancias/instancia_intercalada/10X36.in,resultados/instancia_intercalada/10X36_LU.out,1,266.291
instancias/instancia_intercalada/35X20.in,resultados/instancia_intercalada/35X20_LU.out,1,1985.92
instancias/instancia_intercalada/10X4.in,resultados/instancia_intercalada/10X4_LU.out,1,0.47147
instancias/instancia_intercalada/35X12.in,resultados/instancia_intercalada/35X12_LU.out,1,434.965
instancias/instancia_intercalada/50X20.in,resultados/instancia_intercalada/50X20_LU.out,1,5815.84
instancias/instancia_intercalada/20X20.in,resultados/instancia_intercalada/20X20_LU.out,1,368.1
instancias/instancia_intercalada/40X28.in,resultados/instancia_intercalada/40X28_LU.out,1,8089.07
instancias/instancia_intercalada/30X36.in,resultados/instancia_intercalada/30X36_LU.out,1,7183.38
instancias/instancia_intercalada/40X12.in,resultados/instancia_intercalada/40X12_LU.out,1,638.779
